"","time","bitcoin","ethereum","ripple","bitcoin-cash","cardano","nem","litecoin","neo","stellar","iota","eos","dash","monero","tron","bitcoin-gold","ethereum-classic","qtum","icon","month","day","hour","min"
"1","2018-01-18 00:00:00",1034.23,1.32,1740.45,0.664198,1.04,191.42,151.09,0.466661,2.86,10.19,804.83,314.36,0.078826,186.77,29.37,36.37,7.54,23.07,1,18,0,0
"2","2018-01-18 00:05:00",1044.97,1.34,1763.94,0.678517,1.06,193.85,153.32,0.481688,2.87,10.31,814.8,319.93,0.080873,188.18,29.76,36.44,7.8,23.38,1,18,0,5
"3","2018-01-18 00:10:00",1053.27,1.35,1780.78,0.665572,1.05,195.18,153.43,0.495499,2.87,10.4,817.96,321.05,0.081658,189.4,29.91,37.24,7.98,23.7,1,18,0,10
"4","2018-01-18 00:15:00",1059.69,1.38,1812.37,0.67516,1.09,196.56,153.18,0.503706,2.92,10.48,826.41,326.11,0.080724,194.21,30.23,37.42,8.12,24.31,1,18,0,15
"5","2018-01-18 00:20:00",1064.3,1.37,1813.88,0.675392,1.08,197.79,149.64,0.500606,2.9,10.49,827.18,327.23,0.080841,196.18,30.36,37.29,8.09,24.56,1,18,0,20
"6","2018-01-18 00:25:00",1041.32,1.29,1791.31,0.666573,1.04,192.61,145.16,0.49205,2.84,10.33,818.51,324.88,0.081509,193.95,30.15,37.42,7.8,24,1,18,0,25
"7","2018-01-18 00:30:00",1022.63,1.3,1757.11,0.636596,1.02,189.64,142.15,0.472467,2.82,10,804.83,318.29,0.076246,188.32,29.32,36.9,7.44,23.11,1,18,0,30
"8","2018-01-18 00:35:00",1022.63,1.3,1757.11,0.636596,1.02,189.64,142.15,0.472467,2.82,10,804.83,318.29,0.076246,188.32,29.32,36.9,7.44,23.11,1,18,0,35
"9","2018-01-18 00:40:00",1021.46,1.27,1756,0.633379,1.02,188.79,143.62,0.475232,2.79,10.03,803.16,319.19,0.075373,187.97,29.28,36.92,7.59,23.13,1,18,0,40
"10","2018-01-18 00:45:00",1007.8,1.26,1740.35,0.621272,0.995885,186.63,140.38,0.459293,2.79,9.9,797.88,316.33,0.073993,187.05,28.8,36.01,7.38,22.88,1,18,0,45
"11","2018-01-18 00:50:00",1008.3,1.27,1734.65,0.619958,1.01,188.17,139.86,0.461447,2.77,9.84,790.76,314.32,0.073442,186.05,28.51,35.71,7.3,22.62,1,18,0,50
"12","2018-01-18 00:55:00",1009.29,1.26,1758,0.627206,1.01,189.41,140.51,0.471044,2.75,9.99,796.31,319.69,0.074604,186.43,28.84,35.93,7.58,22.81,1,18,0,55
